vessel_id,t,lon,lat,heading,course,speed
1792,1677277926159,23.8861026763916,37.27329254150391,331,331,15
1791,1677277937990,23.910085678100582,37.26608657836914,32,32,9
1832,1677277968898,25.88400077819824,37.49516677856445,335,335,9
1792,1677278063909,23.88022994995117,37.28155899047852,330,330,14
1852,1677278205595,25.804399490356445,37.73513412475586,174,174,10
1791,1677278339657,23.92288017272949,37.28156661987305,33,33,9
1852,1677278616017,25.80666732788086,37.71456527709961,174,174,10
1852,1677278715375,25.80706596374512,37.70964813232422,176,176,10
1852,1677278866545,25.807750701904297,37.70199966430664,175,175,10
1852,1677278946205,25.80816650390625,37.69796752929688,175,175,10
1852,1677279145514,25.80913352966309,37.687984466552734,175,175,10
1841,1677279205839,26.11883354187012,37.29800033569336,293,293,11
1792,1677279293924,23.82853126525879,37.35332107543945,330,330,14
1841,1677279325836,26.1113338470459,37.30066680908203,293,293,11
1852,1677279334787,25.81016731262207,37.67848205566406,175,175,10
1852,1677279425184,25.81068420410156,37.6739501953125,174,174,10
1841,1677279446710,26.10383415222168,37.3033332824707,293,293,11
1841,1677279521966,26.099166870117188,37.30500030517578,294,294,11
1852,1677279606201,25.81166648864746,37.664817810058594,175,175,10
1852,1677279715213,25.8123836517334,37.65926742553711,174,174,11
1841,1677279746711,26.084999084472656,37.310001373291016,293,293,11
1841,1677279880815,26.076499938964844,37.3129997253418,293,293,11
1852,1677280026288,25.814367294311523,37.643516540527344,174,174,10
1842,1677280414433,25.93415260314941,37.4189682006836,159,159,10
1852,1677280526131,25.8171329498291,37.61816787719727,175,175,10
1842,1677280614187,25.938629150390625,37.40956497192383,159,159,10
1841,1677280771995,26.020166397094727,37.33433151245117,295,295,12
1852,1677280806261,25.81870079040528,37.603851318359375,175,175,11
1842,1677280854233,25.944807052612305,37.39838790893555,156,156,10
1842,1677281043313,25.94961929321289,37.38956832885742,156,156,10
1852,1677281145480,25.820432662963867,37.58648300170898,175,175,11
1841,1677281161780,25.99683380126953,37.34483337402344,299,299,11
1841,1677281250766,25.99166679382324,37.34749984741211,302,302,11
1842,1677281253543,25.95560836791992,37.38003158569336,153,153,10
1841,1677281325385,25.98733329772949,37.34966659545898,302,302,11
1852,1677281376422,25.82159996032715,37.57456588745117,175,175,11
1842,1677281493265,25.962268829345703,37.36899948120117,154,154,11
1852,1677281575516,25.822599411010746,37.56435012817383,175,175,11
1842,1677281643816,25.966758728027344,37.36213684082031,152,152,11
1852,1677281646356,25.822967529296875,37.56056594848633,175,175,11
1842,1677281843826,25.972732543945312,37.3530502319336,152,152,11
1842,1677281974071,25.97653579711914,37.34711837768555,152,152,11
1841,1677282121255,25.94099998474121,37.37366485595703,302,302,11
1842,1677282243566,25.984331130981445,37.33475112915039,153,153,11
1852,1677282304990,25.8311824798584,37.52788162231445,168,168,10
1842,1677282384459,25.98851776123047,37.32841110229492,152,152,10
1852,1677282424976,25.833066940307617,37.521766662597656,166,166,11
1842,1677282483728,25.991323471069336,37.32379150390625,154,154,11
1842,1677282752982,25.99917793273925,37.31122589111328,153,153,11
1842,1677282992982,26.006139755249023,37.29997634887695,153,153,11
1842,1677283134102,26.01030921936035,37.2934799194336,152,152,11
1842,1677283232951,26.0131778717041,37.28878784179688,153,153,11
1842,1677283304632,26.015287399291992,37.28538131713867,153,153,11
1841,1677283355220,25.87183380126953,37.410831451416016,303,303,11
1852,1677283375838,25.86313247680664,37.481201171875,149,149,10
1842,1677283434615,26.019187927246094,37.27928161621094,152,152,11
1852,1677283495830,25.86829948425293,37.47695159912109,135,135,10
1852,1677283576042,25.87193298339844,37.47403335571289,135,135,11
1842,1677283673067,26.026159286499023,37.2679328918457,153,153,11
1852,1677283706495,25.877683639526367,37.46939849853516,135,135,10
